terrain,ref,slug,statut,surface,etat,sol,irrigation,amendement,equipement,prix_m2,prix_annuel,lat,lon
A,A1,,libre,700,friche,non,non,non,,0.10,840,,
A,A2,,libre,700,friche,non,non,non,,0.10,840,,
A,A3,,libre,700,friche,non,non,non,,0.10,840,,
A,A4,,libre,700,friche,non,non,non,,0.10,840,,
A,A5,,libre,700,friche,non,non,non,,0.10,840,,
A,A6,,libre,700,friche,non,non,non,,0.10,840,,
A,A7,,libre,700,friche,non,non,non,,0.10,840,,
A,A8,,libre,700,friche,non,non,non,,0.10,840,,
A,A9,,libre,700,friche,non,non,non,,0.10,840,,
A,A10,,libre,700,friche,non,non,non,,0.10,840,,
B,B1,b1,louée,350,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,630,43.7504,5.2672
B,B2,,libre,350,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,630,,
B,B3,,libre,350,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,630,,
B,B4,,libre,350,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,630,,
B,B5,,libre,350,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,630,,
B,B6,,libre,350,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,630,,
B,B7,,libre,350,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,630,,
B,B8,,libre,350,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,630,,
B,B9,,libre,350,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,630,,
B,B10,,libre,350,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,630,,
C,C1,,libre,700,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,1260,,
C,C2,,libre,700,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,1260,,
C,C3,,libre,700,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,1260,,
C,C4,,libre,700,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,1260,,
C,C5,,libre,700,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,1260,,
C,C6,,libre,700,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,1260,,
C,C7,,libre,700,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,1260,,
C,C8,,libre,700,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,1260,,
C,C9,,libre,700,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,1260,,
C,C10,,libre,700,travaillée,oui,oui,oui,"cabane, cuve, clôture",0.15,1260,,
D,D1,,libre,700,friche,non,non,non,,0.10,840,,
D,D2,,libre,700,friche,non,non,non,,0.10,840,,
D,D3,,libre,700,friche,non,non,non,,0.10,840,,
D,D4,,libre,700,friche,non,non,non,,0.10,840,,
D,D5,,libre,700,friche,non,non,non,,0.10,840,,
D,D6,,libre,700,friche,non,non,non,,0.10,840,,
D,D7,,libre,700,friche,non,non,non,,0.10,840,,
D,D8,,libre,700,friche,non,non,non,,0.10,840,,
D,D9,,libre,700,friche,non,non,non,,0.10,840,,
D,D10,,libre,700,friche,non,non,non,,0.10,840,,
